Apartment,ONT Serial,Router Model,SSID,WiFi Password,Admin Username,Admin Password,LAN IP Range,DHCP Range
1A,ALCLF10001,Cisco 9130AXI,AlMarkaz-1A,Secure@2024#Apt1A,admin,Admin1A@2024,192.168.1.0/24,192.168.1.100-200
1B,ALCLF10002,Cisco 9130AXI,AlMarkaz-1B,Secure@2024#Apt1B,admin,Admin1B@2024,192.168.1.0/24,192.168.1.100-200
1C,ALCLF10003,Cisco 9130AXI,AlMarkaz-1C,Secure@2024#Apt1C,admin,Admin1C@2024,192.168.1.0/24,192.168.1.100-200
1D,ALCLF10004,Cisco 9130AXI,AlMarkaz-1D,Secure@2024#Apt1D,admin,Admin1D@2024,192.168.1.0/24,192.168.1.100-200
2A,ALCLF10005,Cisco 9130AXI,AlMarkaz-2A,Secure@2024#Apt2A,admin,Admin2A@2024,192.168.2.0/24,192.168.2.100-200
2B,ALCLF10006,Cisco 9130AXI,AlMarkaz-2B,Secure@2024#Apt2B,admin,Admin2B@2024,192.168.2.0/24,192.168.2.100-200
2C,ALCLF10007,Cisco 9130AXI,AlMarkaz-2C,Secure@2024#Apt2C,admin,Admin2C@2024,192.168.2.0/24,192.168.2.100-200
2D,ALCLF10008,Cisco 9130AXI,AlMarkaz-2D,Secure@2024#Apt2D,admin,Admin2D@2024,192.168.2.0/24,192.168.2.100-200
3A,ALCLF10009,Cisco 9130AXI,AlMarkaz-3A,Secure@2024#Apt3A,admin,Admin3A@2024,192.168.3.0/24,192.168.3.100-200
3B,ALCLF10010,Cisco 9130AXI,AlMarkaz-3B,Secure@2024#Apt3B,admin,Admin3B@2024,192.168.3.0/24,192.168.3.100-200
3C,ALCLF10011,Cisco 9130AXI,AlMarkaz-3C,Secure@2024#Apt3C,admin,Admin3C@2024,192.168.3.0/24,192.168.3.100-200
3D,ALCLF10012,Cisco 9130AXI,AlMarkaz-3D,Secure@2024#Apt3D,admin,Admin3D@2024,192.168.3.0/24,192.168.3.100-200
4A,ALCLF10013,Cisco 9130AXI,AlMarkaz-4A,Secure@2024#Apt4A,admin,Admin4A@2024,192.168.4.0/24,192.168.4.100-200
4B,ALCLF10014,Cisco 9130AXI,AlMarkaz-4B,Secure@2024#Apt4B,admin,Admin4B@2024,192.168.4.0/24,192.168.4.100-200
4C,ALCLF10015,Cisco 9130AXI,AlMarkaz-4C,Secure@2024#Apt4C,admin,Admin4C@2024,192.168.4.0/24,192.168.4.100-200
4D,ALCLF10016,Cisco 9130AXI,AlMarkaz-4D,Secure@2024#Apt4D,admin,Admin4D@2024,192.168.4.0/24,192.168.4.100-200
5A,ALCLF10017,Cisco 9130AXI,AlMarkaz-5A,Secure@2024#Apt5A,admin,Admin5A@2024,192.168.5.0/24,192.168.5.100-200
5B,ALCLF10018,Cisco 9130AXI,AlMarkaz-5B,Secure@2024#Apt5B,admin,Admin5B@2024,192.168.5.0/24,192.168.5.100-200
5C,ALCLF10019,Cisco 9130AXI,AlMarkaz-5C,Secure@2024#Apt5C,admin,Admin5C@2024,192.168.5.0/24,192.168.5.100-200
5D,ALCLF10020,Cisco 9130AXI,AlMarkaz-5D,Secure@2024#Apt5D,admin,Admin5D@2024,192.168.5.0/24,192.168.5.100-200
